Time in Seconds,Stars (Max: 5),Weighted Rating,Price
59580.0,4.5,10.274240435634173,22.5
110700.0,4.0,2.833213344056216,30.09
33480.0,4.5,5.666426688112432,15.47
37740.0,4.5,6.741700694652055,15.47
37080.0,4.5,8.351256663871606,23.75
21060.0,4.5,5.995207533386816,13.75
24300.0,4.5,8.384689841603144,19.95
64800.0,4.5,8.01911925157541,24.75
24660.0,4.5,4.22683374526818,15.56
11520.0,4.0,7.00397413672268,12.57
14820.0,4.5,4.808111029984782,17.09
56940.0,5.0,3.044522437723423,21.49
27720.0,4.5,6.461468176353717,14.61
42180.0,4.5,4.605170185988092,15.56
31200.0,4.5,4.22683374526818,21.49
17520.0,4.5,5.4785534168509695,13.75
15900.0,5.0,3.258096538021482,14.95
19980.0,4.0,3.8918202981106265,17.19
56820.0,4.5,5.5154428455366835,21.49
15840.0,4.5,4.912654885736052,21.48
42420.0,4.5,7.110696122978827,21.49
84420.0,5.0,4.110873864173311,32.27
54480.0,4.5,5.5154428455366835,18.91
19680.0,4.5,3.1570004211501135,14.24
3720.0,4.5,6.9167150203536085,13.5
41160.0,4.5,5.37989735354046,21.49
43140.0,4.0,3.713572066704308,24.67
71520.0,5.0,4.875197323201151,25.79
27060.0,4.5,4.6491870714048655,19.95
21000.0,4.0,4.795790545596741,13.22
105300.0,5.0,4.2626798770413155,29.95
11640.0,4.5,6.2422232654551655,10.31
12120.0,5.0,5.655991810819852,14.2
35340.0,4.0,4.795790545596741,17.19
33660.0,4.5,6.757513615651594,17.19
29760.0,4.5,4.1588830833596715,17.19
29040.0,4.5,5.568344503761097,17.19
30660.0,4.5,5.53338948872752,17.19
23640.0,4.5,3.9219733362813143,15.75
21960.0,5.0,3.258096538021482,14.03
32700.0,4.5,6.259581464064923,19.49
34920.0,4.5,5.0072963928307415,21.49
51120.0,4.5,4.5591262474866845,21.49
13920.0,5.0,5.017279836814924,14.95
43200.0,4.0,5.198497031265826,21.49
23700.0,4.5,5.440250862436703,14.03
19440.0,4.0,4.6913478822291435,13.22
38100.0,4.5,5.147494476813453,24.95
62340.0,4.5,4.912654885736052,19.46
35280.0,4.0,5.652489180268651,15.47
45240.0,5.0,4.983606621708336,18.72
30960.0,4.0,6.47543271670409,20.0
80040.0,4.5,4.605170185988092,25.79
40020.0,4.5,5.420534999272286,24.95
45300.0,4.5,5.901266279189834,21.49
17220.0,4.0,4.290459441148391,14.95
16080.0,5.0,4.709530201312334,15.56
34920.0,4.5,8.449342524508063,20.0
39300.0,4.5,5.634789603169249,24.95
66360.0,4.5,6.140961558253893,26.59
28920.0,4.0,6.695798917058491,15.56
36000.0,4.5,6.529418838262226,15.56
23760.0,4.5,6.731018100482083,17.19
38880.0,4.5,7.886269354036424,25.19
24480.0,5.0,4.663439094112067,19.49
19200.0,4.0,7.233455418621439,15.56
40260.0,4.0,6.322565239927284,21.49
22860.0,4.5,5.53338948872752,19.95
85620.0,5.0,5.802118375377063,34.39
22440.0,3.5,6.182084906716632,14.61
35340.0,4.5,5.40042258948519,19.63
26400.0,4.5,6.0063531596017325,20.0
67620.0,4.5,7.002155954403621,27.99
24060.0,4.5,7.095893221097532,13.5
28980.0,4.0,6.013715156042802,20.0
50640.0,4.5,5.585374243605899,30.09
30660.0,3.5,3.2386784521643803,17.19
29400.0,4.5,4.6491870714048655,23.39
89340.0,4.0,5.3612921657094255,29.25
31440.0,4.5,5.726847747587197,15.56
44220.0,4.5,5.22305488204749,20.25
14040.0,4.5,4.6491870714048655,17.09
70080.0,4.0,4.61512051684126,25.79
41100.0,4.5,4.22683374526818,20.25
25860.0,5.0,4.836281906951478,19.95
29580.0,4.0,6.7580945044277305,15.47
80580.0,4.5,4.51085950651685,14.13
33600.0,3.5,2.917770732084279,16.99
43380.0,4.5,4.350277936359301,21.49
29220.0,4.0,5.176149732573829,14.03
10380.0,5.0,3.713572066704308,15.29
33000.0,4.0,5.003946305945459,25.19
25380.0,4.5,4.976733742420574,21.49
30720.0,4.5,7.010311867307229,18.0
